gene	expression
LIME1	8.99
TMED5	8.99
UBA5	8.99
ATP13A3	8.98
FAM134A	8.98
FANCG	8.98
PDXK	8.98
WDR11	8.98
C20orf72	8.97
C14orf21	8.96
CREBBP	8.95
LPAR2	8.95
MED30	8.95
NSUN5	8.95
OGFOD1	8.95
SP1	8.95
ANKFY1	8.94
CKAP2L	8.94
HDHD2	8.94
KLF10	8.94
ZNF263	8.94
ZSCAN29	8.94
C12orf52	8.93
METTL9	8.93
RWDD3	8.93
YARS2	8.93
PLK1S1	8.92
POLR3K	8.92
ACOT13	8.91
NAB2	8.91
TRMT2A	8.91
ZNF410	8.91
APOBEC3D	8.9
PVT1	8.9
SLC25A19	8.9
SNORA59B	8.89
UBE2E2	8.89
VPS33A	8.89
ZC3H14	8.89
GTF3C3	8.88
ZNF627	8.88
C10orf125	8.87
C1orf123	8.87
MGAT3	8.87
POLD3	8.87
REV1	8.87
CPT1B	8.86
NPNT	8.86
TUBG2	8.86
LOC728855	8.85
R3HDM1	8.85
TRIM52	8.85
VPRBP	8.85
FAM100A	8.84
RABEPK	8.84
CLUAP1	8.83
LPIN2	8.83
PPM1M	8.83
ALDH2	8.82
KAT7	8.82
LOC728175	8.82
EIF3J	8.81
FAM83D	8.81
GPD2	8.81
SBNO2	8.81
SH2D3C	8.81
TRIOBP	8.81
LEMD2	8.8
R3HDM2	8.8
TMEM50A	8.8
AIFM2	8.79
CDK11A	8.79
ERBB2IP	8.79
ZBTB5	8.79
EDEM2	8.78
LOC285074	8.77
LOC642236	8.77
ACBD3	8.76
BTG3	8.76
CIAPIN1	8.76
KIAA0319L	8.76
PHF1	8.76
YIPF5	8.76
LRP5L	8.75
MYCBP	8.74
SH2B2	8.74
TSPAN3	8.74
ZFC3H1	8.74
AUTS2	8.73
DNAJB12	8.73
PDS5B	8.73
PIK3IP1	8.73
SURF1	8.73
ATAD3A	8.72
CRBN	8.72
GNG7	8.72
PHF20	8.72
TMEM134	8.72
ARID5B	8.71
ESYT2	8.71
SCAF1	8.71
SGMS1	8.71
TGIF2-C20ORF24	8.71
UXS1	8.71
NUP160	8.7
VPS52	8.7
ANAPC16	8.69
BTBD6	8.69
DDX59	8.69
ETAA1	8.69
GNA12	8.69
PDXDC2P	8.69
MNAT1	8.68
PEX11B	8.68
MTERFD1	8.67
PIBF1	8.67
PTCD3	8.67
RFC3	8.67
TRPT1	8.67
C8orf76	8.66
SLC25A26	8.66
DEXI	8.65
IKBKAP	8.65
RALA	8.65
SELT	8.65
TSC1	8.65
ALOX5AP	8.64
EAF1	8.64
NAA60	8.64
SPCS3	8.64
LPGAT1	8.63
SLC39A14	8.63
ST8SIA4	8.63
COL4A3BP	8.62
HPS6	8.62
DVL3	8.61
STRA13	8.61
TEX9	8.61
MED27	8.6
PET112	8.6
TTC14	8.6
TTC19	8.6
EIF2C2	8.59
INO80C	8.59
LOXL3	8.59
MANBAL	8.59
MVK	8.59
NCOA7	8.59
PDIA5	8.59
PPCDC	8.59
TWSG1	8.59
WDR83	8.59
WWOX	8.59
FAM103A1	8.58
LOC100306951	8.58
RRP1B	8.58
TM9SF4	8.58
GFM1	8.57
MICU1	8.57
PRKACA	8.57
ROCK2	8.57
TMBIM1	8.57
ZDHHC7	8.57
ANO9	8.56
C6orf89	8.56
KIF21A	8.56
MRPL15	8.56
VAMP1	8.56
ARHGAP11A	8.55
CHMP2B	8.55
KIAA0195	8.55
PBK	8.55
PGM3	8.55
POFUT1	8.55
SLC29A1	8.55
TMX3	8.55
NUPL1	8.54
RAB27A	8.54
KBTBD2	8.53
SPTY2D1	8.53
FBXO41	8.51
MYO1D	8.51
SEH1L	8.51
TXNDC9	8.51
LOC641298	8.5
MRPS25	8.5
STARD10	8.5
TPRKB	8.5
WDR5	8.5
XPA	8.5
DCAF15	8.49
GFOD1	8.49
HDDC3	8.49
ITPRIPL1	8.49
SAP30BP	8.49
SNAP29	8.49
SYNRG	8.49
C1orf216	8.48
FAM120AOS	8.48
MAP3K11	8.48
CBWD6	8.47
COMMD7	8.47
NBPF11	8.47
PI4K2B	8.47
PRPSAP1	8.47
SYPL1	8.47
CSTF2T	8.46
GBA2	8.46
MTX2	8.46
SPI1	8.45
HIRIP3	8.44
MLX	8.44
RASSF7	8.44
ZNF777	8.44
ACAD9	8.43
C20orf27	8.43
HIATL1	8.43
PTPN22	8.43
HDAC5	8.42
ANKRA2	8.41
CRNKL1	8.41
NPC1	8.41
ERO1L	8.4
PDK1	8.4
WDR12	8.4
DCP1B	8.39
DPCD	8.39
SLC25A4	8.39
SNX22	8.39
GAPVD1	8.38
MIB2	8.38
PCTP	8.38
RAD54B	8.38
SKA2	8.38
SLC25A25	8.38
BRCA1	8.37
COIL	8.37
LYRM1	8.37
RCL1	8.37
SLC33A1	8.37
HECTD3	8.36
KIAA0090	8.36
RPL23AP64	8.36
SUGT1	8.36
LMO2	8.35
MCM8	8.35
WDTC1	8.35
ABHD12	8.34
ALG2	8.33
EHBP1	8.33
N4BP2L1	8.33
RLF	8.33
STK38	8.33
SMAP1	8.32
TSSC4	8.32
ZNF12	8.32
RBM14-RBM4	8.31
ADI1	8.3
ALG3	8.3
GPR132	8.3
ITPKB	8.3
AP2A2	8.29
KIDINS220	8.29
PHIP	8.29
CIC	8.28
NSD1	8.28
ASH2L	8.27
FBXL5	8.27
KIF20A	8.27
STAG3L2	8.27
TMEM165	8.27
AIMP2	8.26
ANAPC1	8.26
RNF115	8.26
STK17B	8.26
WDR76	8.26
AFMID	8.25
BRPF1	8.25
COQ4	8.25
RHOBTB2	8.25
VPS41	8.25
ZNF274	8.25
MOCS2	8.24
SCLT1	8.24
SLC41A3	8.24
TFB1M	8.24
FPGS	8.23
PDPK1	8.23
C12orf47	8.22
CYB5D2	8.22
ELL	8.22
PSAT1	8.22
RFWD2	8.22
RLTPR	8.22
TMEM120A	8.22
ZNF141	8.22
ATP6V1G1	8.21
RAD54L	8.21
C17orf70	8.2
MKRN9P	8.2
NAA35	8.2
NAGA	8.2
ORMDL1	8.2
STAMBPL1	8.2
AHCTF1	8.19
CCNY	8.19
EXOSC2	8.19
FHL3	8.19
NRM	8.19
WDFY1	8.19
ZFAND1	8.19
COG2	8.18
ORAI1	8.18
TBCD	8.18
ZNF224	8.18
GNS	8.17
MAPK13	8.17
SH3BP5L	8.17
CCL3L1	8.16
FBXO46	8.16
RNF135	8.16
C17orf58	8.15
DBR1	8.15
HAVCR2	8.15
NAA50	8.15
TLR6	8.15
CABIN1	8.14
SH2B3	8.14
TTC9	8.14
CLPB	8.13
STAG3L3	8.13
DERL2	8.12
FNDC3A	8.12
HIST1H2BJ	8.12
PARP6	8.12
POLG2	8.12
ZBTB25	8.12
BLM	8.11
HEXB	8.11
LGALS3	8.11
PPIP5K2	8.11
RAB10	8.11
TRIP11	8.11
ZNF326	8.11
UNC119B	8.1
FAM57A	8.09
GALE	8.09
MADD	8.09
SLC20A1	8.09
C17orf80	8.08
METTL2B	8.08
RAB20	8.08
FAM134C	8.07
KIAA1430	8.07
TNRC6A	8.07
TRIP6	8.07
DNASE1L3	8.06
KCTD7	8.06
MIIP	8.06
MR1	8.06
CASC4	8.05
EARS2	8.05
ELAC2	8.05
FAM129C	8.05
GEMIN5	8.05
GPN3	8.05
VHL	8.05
EZH1	8.04
PPP2R1B	8.04
UNK	8.04
ZMYM2	8.04
C12orf23	8.03
C1orf131	8.03
HIPK3	8.03
TARBP1	8.03
HLTF	8.02
MEN1	8.02
C7orf26	8.01
PPIAL4A	8.01
RWDD2B	8.01
CXCR4	8
FBXO38	8
MCPH1	8
MIER2	8
PDE4B	8
SP140L	8
ASH1L	7.99
CCDC74A	7.99
DOM3Z	7.99
GFM2	7.98
LOC643837	7.98
MIDN	7.98
ZCCHC9	7.98
ZNF589	7.98
HEATR1	7.97
RECQL5	7.97
ZFYVE19	7.97
ARFGEF1	7.96
CCDC97	7.96
DOHH	7.96
EFHA1	7.96
GUSBP1	7.96
SUDS3	7.96
DGCR8	7.94
EEA1	7.94
ALPK1	7.93
CAPG	7.93
SNAPC3	7.93
C22orf39	7.92
HIST3H2A	7.92
KIAA0430	7.92
LOC100506844	7.92
RSAD1	7.92
TLE3	7.92
TP73	7.92
EVC	7.91
LGALS8	7.91
NCR3	7.91
PDE8A	7.9
TMEM18	7.9
KIFAP3	7.89
TSN	7.89
ZNF76	7.89
HELLS	7.88
PTPLAD1	7.88
TRAPPC6A	7.88
VAMP2	7.88
C5orf56	7.87
CTNND1	7.87
MPHOSPH9	7.87
RRS1	7.87
UTP14C	7.87
ARMC6	7.86
DEDD2	7.86
FAM35A	7.86
RGS2	7.86
CCDC28A	7.85
DSN1	7.85
ISOC1	7.85
TXNDC12	7.85
ZBED5	7.85
HDHD3	7.84
JARID2	7.84
MFSD6	7.84
NOMO3	7.84
PHC2	7.84
PLOD3	7.84
TMEM111	7.84
ENY2	7.83
GPHN	7.83
SENP2	7.83
TXNDC15	7.83
USP32	7.83
ACSS2	7.82
DHRS4	7.82
DVL1	7.82
GTSE1	7.82
SGSH	7.82
BDH1	7.81
FAM40A	7.81
NCOA1	7.81
PABPC1L	7.81
RANBP6	7.81
WDR3	7.81
CEP170	7.8
HACL1	7.8
HDAC10	7.8
IVD	7.8
KSR1	7.8
STX18	7.8
TP53I13	7.8
XPO5	7.79
CENPC1	7.78
CMTM6	7.78
LEPRE1	7.78
SH3D21	7.78
SLC6A6	7.78
C6orf47	7.77
CD2BP2	7.77
DGCR6L	7.77
MAN1A1	7.77
RYBP	7.77
PPP2R4	7.76
RPP21	7.76
DDX28	7.75
DPP9	7.75
KIAA0391	7.75
LRPAP1	7.75
TBK1	7.75
CROCCP2	7.74
GOLGA7	7.74
HIRA	7.74
HSD17B4	7.74
IZUMO4	7.74
MTO1	7.74
NFYC	7.74
PLXNC1	7.74
SIDT2	7.74
SYT11	7.74
ZBTB11	7.74
ZNF687	7.74
CENPO	7.73
EP400	7.73
LMF2	7.73
PATZ1	7.73
RAD17	7.73
TELO2	7.73
TPRG1L	7.73
TRIP4	7.73
ZBTB2	7.73
ZNF800	7.73
FEM1A	7.72
KDM5B	7.72
SIPA1L3	7.72
ANO6	7.71
DNAJC13	7.71
GSK3A	7.71
ITFG3	7.71
TM9SF3	7.71
C17orf59	7.7
C22orf46	7.7
SNRPE	7.7
STARD3NL	7.7
UFD1L	7.7
RAB30	7.69
SLC39A8	7.69
SURF2	7.69
TTC28-AS1	7.69
ARL5A	7.68
CCDC50	7.68
CLIC6	7.68
GRAPL	7.68
PSMG2	7.68
TTC31	7.68
BPNT1	7.67
CDKN2AIP	7.67
TMEM8A	7.67
TYW3	7.67
AGTPBP1	7.66
ATP2B1	7.66
ATP5G1	7.66
BAG1	7.66
FASTKD1	7.66
ZSCAN16	7.66
CRTC3	7.64
EGR1	7.64
FXN	7.64
GPR108	7.64
LSR	7.64
PHKB	7.64
TBC1D17	7.64
ZC3H4	7.64
ZNF133	7.64
FAM173A	7.63
TGIF2	7.63
TMEM102	7.63
ZNF768	7.63
C22orf32	7.62
CBWD5	7.62
CRK	7.62
JAM2	7.62
MESDC2	7.62
PEX2	7.62
PSEN1	7.62
SERGEF	7.62
CCDC53	7.61
PPP2R5A	7.61
PRR14	7.61
SHMT1	7.61
WDR48	7.61
ZNF655	7.61
GPR107	7.6
NT5C2	7.6
ZNF83	7.6
BRF2	7.59
PREP	7.59
TADA2A	7.59
TFAP4	7.59
AP3M2	7.58
CENPT	7.58
CLINT1	7.58
FOPNL	7.58
GNPTAB	7.58
LY6G5B	7.58
MED18	7.58
RER1	7.58
CD47	7.57
HMBS	7.57
NAB1	7.57
POFUT2	7.57
UBE2K	7.57
ZFAND2B	7.57
MLL	7.56
TEX10	7.56
C8orf59	7.55
PRR7	7.55
PSRC1	7.55
CCDC93	7.54
METTL16	7.54
RHOQ	7.54
SEC23A	7.54
TBCB	7.54
PKIG	7.53
THOC1	7.53
AAGAB	7.52
CDC45	7.52
FAM65A	7.52
DRAM1	7.51
FCHSD1	7.51
KCTD10	7.51
PPP2R5E	7.51
PRRC1	7.51
TSNAX	7.51
VPS13C	7.51
DNAJB9	7.5
EIF2AK4	7.5
KCTD2	7.5
TEX261	7.5
USP25	7.5
BCL10	7.49
REC8	7.49
SMCR8	7.48
ZNF226	7.48
GLS	7.47
LSM12	7.47
MTR	7.47
TOLLIP	7.47
ZNF839	7.47
C1orf50	7.46
FBRS	7.46
NUFIP2	7.46
ATP6V0B	7.45
C1orf122	7.45
JRKL	7.45
KIAA1279	7.45
SUMO1P3	7.45
UHMK1	7.45
GTPBP5	7.44
HAGH	7.44
MAN2B2	7.44
RAD9A	7.44
SUPT7L	7.44
TSC2	7.44
ATF2	7.43
LZTS2	7.43
PDE4A	7.43
TTYH3	7.43
C21orf56	7.42
TAOK2	7.42
ZDHHC5	7.42
B4GALT5	7.41
FGD2	7.41
ARL2BP	7.4
CBFB	7.4
FBXO11	7.4
LOC100499177	7.4
SETD3	7.4
PANK3	7.39
PIGT	7.39
PPFIA4	7.39
ZFPL1	7.39
SLMAP	7.38
MAU2	7.37
TRIB1	7.37
RXRB	7.36
ZZEF1	7.36
ACOT2	7.35
EFNA4	7.35
ING4	7.35
NID1	7.35
TTI1	7.35
B4GALT4	7.34
CNOT6	7.34
ELP3	7.34
JUP	7.34
MASTL	7.34
SGOL1	7.34
SRPRB	7.34
TDRD3	7.34
TRIM41	7.34
ATP11A	7.33
BOLA1	7.33
CCDC6	7.33
CD59	7.33
NLE1	7.33
CNOT10	7.32
IRF1	7.32
STK19	7.32
CRELD1	7.31
LOC100129917	7.31
PHACTR1	7.31
RNF14	7.31
TFCP2	7.31
BAG2	7.3
RABGGTA	7.3
SENP6	7.3
SPOP	7.3
SSFA2	7.3
SUSD3	7.3
C19orf54	7.29
CASP8AP2	7.29
ENO3	7.29
AARS2	7.28
C17orf61	7.28
CNN3	7.28
DR1	7.28
FOXJ3	7.28
GSR	7.28
ACAD11	7.27
HMX3	7.27
MUS81	7.27
PPAN	7.27
PRKAG1	7.27
FAM110A	7.26
FANCD2	7.26
GAMT	7.26
MED29	7.26
OXSM	7.26
P4HTM	7.26
SPCS2	7.26
JAK3	7.25
KLHL21	7.25
LRRC8D	7.25
PPPDE2	7.25
FAM78A	7.24
IGLL5	7.24
ITPK1	7.24
MRPS14	7.23
NAT9	7.23
TBP	7.23
WEE1	7.22
ZNF544	7.22
CDK8	7.21
LOC146880	7.21
NFKBID	7.21
PREPL	7.21
PXN	7.21
S100A13	7.21
TAF1L	7.2
AIM2	7.19
HEATR2	7.19
MTG1	7.19
OGG1	7.19
ARHGEF12	7.18
DHX40	7.18
NPRL2	7.18
PCGF3	7.18
CHMP7	7.17
FIG4	7.17
SLC37A1	7.17
TAF5L	7.17
CCDC117	7.16
EML3	7.16
IDI2-AS1	7.16
MAP2K4	7.16
PRKRIR	7.16
BDP1	7.15
CCND3	7.15
KLC4	7.15
TROAP	7.15
C12orf32	7.14
CCDC92	7.14
MGA	7.14
NSUN4	7.14
RRP7B	7.14
VCPIP1	7.14
COPS2	7.13
PANK4	7.13
PNKP	7.13
RRNAD1	7.13
TMUB1	7.13
ABHD10	7.12
ARFRP1	7.12
SLC5A6	7.12
SMO	7.12
TDG	7.12
BTBD10	7.11
CCDC101	7.11
GORAB	7.11
RPRD1B	7.11
TMEM9B	7.11
TUT1	7.11
CSNK1A1L	7.1
MKL1	7.1
ABHD2	7.09
C19orf29	7.09
FAM168A	7.09
HS2ST1	7.09
KCTD18	7.09
LOC220906	7.09
NFYA	7.09
RNF2	7.09
ILVBL	7.08
NBAS	7.08
PLAGL1	7.08
POLK	7.08
ID2	7.07
MAST2	7.07
RANBP3	7.07
TPI1P2	7.07
CCL28	7.06
DCAF12	7.06
ITM2B	7.06
NUDT9	7.06
SIK3	7.06
MFSD5	7.05
SIDT1	7.04
SLC25A32	7.04
UBXN2A	7.04
ANKRD26	7.03
C11orf84	7.03
N4BP1	7.03
PSME4	7.03
ZC3HC1	7.03
MFI2	7.02
NDUFC2	7.02
USP28	7.02
C1orf55	7.01
HPS5	7.01
INTS7	7.01
NDUFC2-KCTD14	7.01
MED25	7
PHF17	7
PRR14L	7
RPIA	7
SEPT7P2	7
XYLT2	7
BIN3	6.99
C17orf79	6.99
GTF3C4	6.99
LGALS9B	6.99
PPM1K	6.99
CCDC109B	6.98
CCDC41	6.98
CMIP	6.98
DHDDS	6.98
HIST1H2AM	6.98
METTL22	6.98
ZNF397	6.98
ANXA2P1	6.97
CHD7	6.97
FAM195A	6.97
HIST1H2AE	6.97
NOL6	6.97
PNPLA8	6.97
REREP3	6.97
RQCD1	6.97
TRAPPC10	6.97
CEP192	6.96
DMXL1	6.96
MXI1	6.96
SACS	6.96
LRIF1	6.95
SPC25	6.95
ARFGEF2	6.93
C1D	6.93
NAE1	6.93
PIP5K1C	6.93
C7orf44	6.92
SNX19	6.92
APITD1	6.91
BIRC2	6.91
ENDOD1	6.91
LZTR1	6.91
NELF	6.91
PDCL	6.91
RAB5A	6.91
ZMYM5	6.91
C12orf51	6.9
C2orf29	6.9
CHST2	6.9
GPR55	6.9
NFKBIL1	6.9
AVEN	6.89
DYRK2	6.89
ANKRD28	6.88
CSRP2BP	6.88
FAM178A	6.88
PSMC3IP	6.88
RPUSD3	6.88
SCRIB	6.88
TRAM1	6.88
FGF11	6.87
HEXIM2	6.87
LOC100506033	6.87
RPUSD1	6.87
CYTH4	6.86
IBTK	6.86
SORD	6.86
C22orf25	6.85
CEP78	6.85
MNT	6.85
ORC5	6.85
RECQL4	6.85
SNHG7	6.85
ATG12	6.84
MOB2	6.84
PNO1	6.84
SNAPC4	6.84
TET2	6.84
ZNF232	6.84
ACSF2	6.83
CEP290	6.83
PRIC285	6.83
CLCC1	6.82
DTX2	6.82
RNF185	6.82
JDP2	6.81
L3MBTL2	6.81
MPRIP	6.81
PYGB	6.81
SLC25A44	6.81
SNAPC2	6.81
UBFD1	6.81
CENPA	6.8
LOC728739	6.8
LRCH4	6.8
NVL	6.8
PFAS	6.8
RAB3GAP2	6.8
RBBP4	6.8
RMND1	6.8
SNX10	6.8
SPTLC1	6.8
TMX4	6.8
YRDC	6.8
ZNF664	6.8
COX15	6.79
KATNB1	6.79
GALNT7	6.78
TDP1	6.78
KIAA0564	6.77
MYO19	6.77
PDE6D	6.77
SLC44A1	6.77
BANP	6.76
COX4NB	6.76
CSF1	6.76
GFER	6.76
HCG26	6.76
HRSP12	6.76
RASSF4	6.76
ZHX2	6.76
CD72	6.75
CIT	6.75
FAM204A	6.75
IRF2BP1	6.75
KLHDC2	6.75
MLL2	6.75
NUP54	6.74
COG1	6.73
MPP6	6.73
NOMO1	6.73
ASPM	6.72
FLYWCH1	6.72
REEP5	6.72
SAMD9	6.72
SNIP1	6.72
SREBF1	6.72
TMEM127	6.72
ZC3H8	6.72
CDIPT	6.71
KNTC1	6.71
NUP43	6.71
PCMTD2	6.71
C17orf56	6.7
DNAJB14	6.7
ERLIN2	6.7
PSMG4	6.7
SSBP2	6.7
STX6	6.7
C14orf169	6.69
MAPK1IP1L	6.69
USP24	6.69
RABL2B	6.68
GABPB1	6.67
GUF1	6.67
HIST1H2BD	6.67
KPNA3	6.67
ADAT1	6.66
C9orf142	6.66
CYP1B1	6.66
DDX55	6.66
FAM21C	6.66
RAPGEF6	6.66
CLN6	6.65
DYRK1B	6.65
TMEM156	6.65
DHX34	6.64
KBTBD4	6.64
LOC150776	6.64
LOC253039	6.64
RPAIN	6.64
BRP44	6.63
CAMSAP1	6.63
LANCL1	6.63
MLLT10	6.63
MRPL42	6.63
PGAP2	6.63
FAM203A	6.62
FEM1C	6.62
HBP1	6.62
PMS2P1	6.62
RBM12B	6.62
SCAMP4	6.62
SLAIN1	6.62
DPH1	6.61
EFCAB11	6.61
MBOAT7	6.61
RPL13P5	6.61
SELO	6.61
LUZP1	6.6
PVRIG	6.6
RAB12	6.59
ADSS	6.58
AGSK1	6.58
CHST11	6.58
COPG2	6.58
MAN1A2	6.58
MAP3K7	6.58
MARK2	6.58
PTPN12	6.58
SOCS1	6.58
PELO	6.57
WDR24	6.57
CCDC107	6.56
LOC339290	6.56
NBPF14	6.56
SNAPIN	6.56
TTC4	6.56
ABCB6	6.55
ARHGAP21	6.55
LOC100131096	6.55
MRS2	6.55
UPK3BL	6.55
ZNF496	6.55
ATP6V1D	6.54
DPYSL2	6.54
FTO	6.54
IGF1	6.54
RNF219	6.54
ZMYM6NB	6.54
C15orf44	6.53
DYNC1LI1	6.53
RBAK	6.53
FARS2	6.52
STOM	6.52
ZNF770	6.52
LRRC23	6.51
AFG3L1P	6.5
CSGALNACT2	6.5
DNLZ	6.5
NAF1	6.5
NDST1	6.5
RPS27L	6.5
SWI5	6.5
TMEM42	6.5
ZMYM4	6.5
LOC388499	6.49
POLR3H	6.49
TRIM32	6.49
AACS	6.48
CCDC77	6.48
GMEB2	6.48
KLHL2	6.48
LOC440288	6.48
MELK	6.48
NIPA1	6.48
ST6GALNAC6	6.48
TBC1D5	6.48
WDR89	6.48
ZNF26	6.48
RNF11	6.47
TULP3	6.47
ZSCAN12	6.47
AQR	6.46
EPS8L2	6.46
FXR2	6.46
KCMF1	6.46
P2RX5	6.46
PCIF1	6.46
THAP1	6.46
DERA	6.45
ENTPD4	6.45
RPAP1	6.45
SPINT2	6.45
ARHGAP12	6.44
BTN2A2	6.44
SCAP	6.44
TRPM7	6.44
CHST10	6.43
ITCH	6.43
PLAA	6.43
LOH12CR1	6.42
OCIAD2	6.42
PDZD8	6.42
PFDN4	6.42
POMT1	6.42
COG6	6.41
DIP2B	6.41
PARM1	6.41
PRDM1	6.41
AGER	6.4
AMPD3	6.4
LMBR1L	6.4
NR2C1	6.4
POMZP3	6.4
SLC25A20	6.4
SMG9	6.4
SRF	6.4
WDR77	6.4
ABL1	6.39
PGM2	6.39
RAB4B	6.39
SCOC	6.39
SNHG4	6.39
ABCC4	6.38
DNTTIP1	6.38
GIPR	6.38
PBRM1	6.38
PCBD1	6.38
PTTG2	6.38
SMYD3	6.38
CEP170P1	6.37
CERS5	6.37
FCGR2B	6.37
GIMAP7	6.37
POLR3E	6.37
TMEM126B	6.37
ZBTB7B	6.37
GIT1	6.36
MSTO1	6.36
PKD1	6.36
QSOX1	6.36
APBA3	6.35
BCL2L11	6.35
ENOSF1	6.35
EPM2AIP1	6.35
GPR137B	6.35
INTS12	6.35
INTS6	6.35
MED1	6.35
PPOX	6.35
RNASEH2B	6.35
CAT	6.34
DRG2	6.34
GINS4	6.34
GTF2H2	6.34
SP3	6.34
CARD16	6.33
CBX7	6.33
FBXO44	6.33
PCGF5	6.33
RBM28	6.33
LARP4	6.32
RCBTB2	6.32
RPUSD2	6.32
LOC148413	6.31
NAPRT1	6.31
BBS2	6.3
C18orf8	6.3
PCNXL3	6.3
ATXN1L	6.29
CUL9	6.29
VNN2	6.29
HERC4	6.28
LOC285972	6.28
LRRC61	6.28
TAMM41	6.28
THUMPD3	6.28
ZHX1	6.28
ZNF513	6.28
ANAPC10	6.27
ANKRD13D	6.27
BRF1	6.27
INPP5E	6.27
MICB	6.27
NAGLU	6.27
RSC1A1	6.27
STYXL1	6.27
UBXN11	6.27
ARMC1	6.26
CBX6	6.26
CHIC2	6.26
COG3	6.26
NCDN	6.26
RING1	6.26
TJAP1	6.26
ATG16L1	6.25
ATP6V1A	6.25
NFRKB	6.25
SLC2A6	6.25
ADAM19	6.24
ASB1	6.24
LOC100507217	6.24
MIAT	6.24
ODF3B	6.24
PPP4R1	6.24
BRAT1	6.23
CLCN7	6.23
MTMR2	6.23
PPP2CB	6.23
CUL2	6.22
GTF2H4	6.22
LOC100130950	6.22
NOTCH1	6.22
PARG	6.22
UBR2	6.22
GSTCD	6.21
GSTT1	6.21
KIF21B	6.21
MGMT	6.21
TAF1C	6.21
UBE4A	6.21
ABCD4	6.2
ARHGAP31	6.2
CDK5	6.2
DDI2	6.2
FAM126A	6.2
HEG1	6.2
SP2	6.2
TMEM39B	6.2
ZNF721	6.2
AGA	6.19
C12orf75	6.19
DALRD3	6.19
HERC2P2	6.19
KPNA6	6.19
NUDCD1	6.19
TBC1D30	6.19
ATF1	6.18
SECISBP2	6.18
CERS6	6.17
EEF2K	6.17
WRAP53	6.17
HERC2P9	6.16
HERC5	6.16
ARRDC3	6.15
DLG1	6.15
FBXO22	6.15
GIMAP8	6.15
HINT3	6.15
LRR1	6.15
PANX1	6.15
TMEM159	6.15
WDR20	6.15
ERI1	6.14
GATC	6.14
IL10RA	6.14
MAPK9	6.14
PEX19	6.14
RAB7L1	6.14
ICMT	6.13
NCOA2	6.13
PAM	6.13
PMS2P4	6.13
PPAPDC1B	6.13
REEP4	6.13
SLC23A2	6.13
UBE2T	6.13
C16orf5	6.12
EXOC2	6.12
SLC7A7	6.12
COG7	6.11
POLR1A	6.11
TP53INP1	6.11
TTLL3	6.11
ACCS	6.1
CDKN2A	6.1
CEP72	6.1
COG8	6.1
CTC1	6.1
GVINP1	6.1
POLRMT	6.1
TTC27	6.1
ZBTB26	6.1
DOK2	6.09
MAP2K6	6.09
PAIP1	6.09
POMP	6.09
RREB1	6.09
TM7SF3	6.09
C20orf24	6.08
CIDEB	6.08
ELK4	6.08
HIF1AN	6.08
KPNA4	6.08
OSBPL11	6.08
OVCA2	6.08
PRKAR1B	6.08
AK3	6.07
KIAA0895L	6.07
MCEE	6.07
RCE1	6.07
SPRYD3	6.07
ZNF789	6.07
BHLHA15	6.06
FRYL	6.06
PGRMC2	6.06
ZNF434	6.06
C5orf62	6.05
HMBOX1	6.05
QPCTL	6.05
SENP5	6.05
UBE2Q2	6.05
WDR53	6.05
WDYHV1	6.05
ZSCAN30	6.05
DENND1A	6.04
MEIS2	6.04
MKNK1	6.04
RIT1	6.04
RNF25	6.04
SEC22C	6.04
ZNF282	6.04
ZNF526	6.04
PGBD4	6.03
SLC25A10	6.03
SLC26A6	6.03
USP6NL	6.03
ANKRD16	6.02
ECE1	6.02
PDLIM7	6.02
PPFIBP1	6.02
RASA4P	6.02
UBA3	6.02
ACOX3	6.01
ARRDC2	6.01
C19orf70	6.01
CRYL1	6.01
MAST3	6.01
SPG20	6.01
BBX	6
REPS1	6
TTK	6
ZNF550	6
FAM114A2	5.99
GABPA	5.99
GLTP	5.99
MYEF2	5.99
RSBN1L	5.99
SH2B1	5.99
STX11	5.98
TTC7A	5.98
ZFYVE1	5.98
CPNE3	5.97
ESAM	5.97
MIB1	5.97
PMS1	5.97
SLC12A4	5.97
TOE1	5.97
ACACA	5.96
ARV1	5.96
ATP6V0A1	5.96
DCLRE1C	5.96
HIST1H4K	5.96
SLC25A17	5.96
SLX1B-SULT1A4	5.96
C22orf40	5.95
PEPD	5.95
SETD1A	5.95
STAU2	5.95
ZDBF2	5.95
DAK	5.94
DKFZP586I1420	5.94
FAH	5.94
HIVEP1	5.94
IPO7	5.94
KDM6B	5.94
MTOR	5.94
PLA2G6	5.94
RNPC3	5.94
TECR	5.94
ZBTB4	5.94
BCL2L12	5.93
CHD9	5.93
ERF	5.93
SOS2	5.93
WRAP73	5.93
ZNF7	5.93
LIG3	5.92
MAP3K13	5.92
RBM7	5.92
RINT1	5.92
SLC4A2	5.92
IP6K1	5.91
LARGE	5.91
NFATC2	5.91
RUFY3	5.91
STAG1	5.9
WDR4	5.9
C9orf69	5.89
CDCA2	5.89
CHSY1	5.89
COMMD4	5.89
P2RX4	5.89
USP12	5.89
ZNF761	5.89
FAM21A	5.88
LRRC28	5.88
WDHD1	5.88
ABTB1	5.87
PHF10	5.87
TNFRSF1A	5.87
TOP3B	5.87
CDC40	5.86
DNAJC19	5.86
KIAA1737	5.86
BAZ2B	5.85
C21orf2	5.85
DIS3L	5.85
IFNAR1	5.85
