gene	chrom	start	end	status
Metap1	chr3	138121923	138152346	BAE
Metap2	chr10	93321234	93353947	BAE
Mfap3	chr11	57332166	57347319	BAE
Mga	chr2	119722963	119795317	BAE
Mgat4a	chr1	37496184	37597861	BAE
Midn	chr10	79611034	79621112	rMAE
Mki67ip	chr1	NA	NA	BAE
Mknk2	chr10	80128073	80134721	rMAE
Mlec	chr5	115592989	115608185	BAE
Mlh1	chr9	111130731	111174112	BAE
Mll1	chr9	44611437	44689357	BAE
Mll5	chr5	NA	NA	BAE
Mmgt2	chr11	62462165	62479861	BAE
Mocs1	chr17	49567688	49594755	BAE
Mon1a	chr9	107790459	107805470	BAE
Morc2a	chr11	3549496	3590373	rMAE
Mphosph9	chr5	124700967	124777981	BAE
Mrpl22	chr11	57985155	57993082	BAE
Mrpl3	chr9	104955597	104979806	rMAE
Mrpl39	chr16	84717824	84735547	BAE
Mrpl52	chr14	55045745	55048587	BAE
Mrps18a	chr17	46247952	46265857	BAE
Mrps23	chr11	88007607	88025009	BAE
Mrps27	chr13	100114740	100185516	BAE
Mrps35	chr6	146991291	147019424	BAE
Mrps9	chr1	42908077	42962528	BAE
Msh5	chr17	35165549	35183690	BAE
Msh6	chr17	88374389	88390232	BAE
Msi2	chr11	88152883	88579543	BAE
Msl1	chr11	98657082	98669173	rMAE
Msl2	chr9	100978450	101007129	BAE
Mta3	chr17	84105502	84214245	BAE
Mtap7	chr10	NA	NA	BAE
Mtdh	chr15	34012473	34072140	BAE
Mthfd1l	chr10	6179459	6373466	BAE
Mtif2	chr11	29426396	29445447	BAE
Mtmr12	chr15	12134848	12201995	BAE
Mtss1	chr15	58772788	58913581	BAE
Mtx3	chr13	93614741	93628185	rMAE
Myb	chr10	20844735	20880790	rMAE
Mybl2	chr2	162880370	162910423	BAE
Mycbp2	chr14	103512627	103746017	BAE
Myh9	chr15	77591018	77672545	BAE
Mylip	chr13	45485110	45507309	BAE
Myo1c	chr11	75465651	75488136	BAE
Myo1e	chr9	70055156	70247874	rMAE
Myo9b	chr8	73796612	73884611	BAE
Myst2	chr11	NA	NA	BAE
Naa16	chr14	79734313	79790475	BAE
Naa30	chr14	49791920	49810563	BAE
Naa35	chr13	59686693	59736142	rMAE
Nacc1	chr8	87194377	87211761	BAE
Naf1	chr8	69384115	69414463	BAE
Nampt	chr12	33505199	33538234	BAE
Nap1l1	chr10	110910247	110933942	BAE
Ncapd2	chr6	125118024	125141604	BAE
Ncapg2	chr12	117643874	117702004	BAE
Ncaph	chr2	126929545	126959690	BAE
Nckap1l	chr15	103284255	103329231	BAE
Ncl	chr1	88241293	88256030	BAE
Ncoa2	chr1	13129239	13364164	BAE
Ncoa3	chr2	165818136	165898742	BAE
Ncoa6	chr2	155216391	155266519	BAE
Ncor1	chr11	62129927	62252017	BAE
Ndst1	chr18	60845629	60873043	BAE
Ndufa7	chr17	33961516	33975261	BAE
Necab3	chr2	154370140	154384589	BAE
Nedd1	chr10	92147489	92185163	BAE
Nedd4	chr9	72510153	72597655	rMAE
Nedd4l	chr18	65047409	65377480	BAE
Nedd9	chr13	41405284	41582689	rMAE
Nf1	chr11	79153393	79395111	BAE
Nfat5	chr8	109817369	109903417	BAE
Nfatc1	chr18	80802943	80909810	BAE
Nfe2l2	chr2	75513569	75542720	BAE
Nfyc	chr4	120430039	120504184	BAE
Nin	chr12	71119726	71213022	BAE
Nipa2	chr7	63186635	63217863	BAE
Nipsnap3b	chr4	53024795	53034931	rMAE
Nisch	chr14	31984113	32020012	BAE
Nkiras1	chr14	19103649	19116514	BAE
Nktr	chr9	121628298	121665959	BAE
Nlrc5	chr8	96996662	97051172	BAE
Nme7	chr1	166237802	166367431	BAE
Nob1	chr8	109936388	109948938	BAE
Nol10	chr12	17355298	17436901	BAE
Nol8	chr13	49748446	49774385	BAE
Nolc1	chr19	46150352	46160020	BAE
Nop56	chr2	130100147	130105049	BAE
Noxo1	chr17	24833178	24837474	BAE
Npat	chr9	53345151	53383732	BAE
Nploc4	chr11	120241111	120299014	BAE
Nptn	chr9	58430046	58500686	BAE
Nr3c1	chr18	39570198	39646899	rMAE
Nras	chr3	102862207	102871837	BAE
Nsa2	chr13	97899381	97907881	BAE
Nsd1	chr13	55311142	55419686	BAE
Nsf	chr11	103683096	103815370	BAE
Nt5dc3	chr10	86241749	86301134	rMAE
Ntng2	chr2	29050245	29103619	rMAE
Nubp1	chr16	10412030	10424518	BAE
Nubp2	chr17	25019555	25023295	BAE
Nucks1	chr1	133807034	133832898	BAE
Nudt4	chr10	95009640	95026801	rMAE
Nufip2	chr11	77499640	77531468	BAE
Numa1	chr7	109118356	109163473	BAE
Nup153	chr13	46775270	46823218	BAE
Nup188	chr2	30141952	30199782	BAE
Nup205	chr6	35127615	35197598	rMAE
Nup210	chr6	90963060	91066820	BAE
Nup50	chr15	84753857	84773393	BAE
Nvl	chr1	183023553	183074288	BAE
Nxf1	chr19	8831592	8845400	BAE
Obfc2a	chr1	NA	NA	rMAE
Ociad1	chr5	73684032	73705316	BAE
Odc1	chr12	17551678	17558308	BAE
Ogfrl1	chr1	23373262	23390014	rMAE
Opa3	chr7	19813737	19832166	rMAE
Orai1	chr5	123465082	123480461	BAE
Osbpl2	chr2	179854070	179897385	BAE
Osbpl8	chr10	110601857	110734303	BAE
Otud4	chr8	82163574	82201654	BAE
Oxct1	chr15	3976427	4105344	BAE
Pabpc1	chr15	36525412	36538728	BAE
Pacrgl	chr5	48763630	48779995	BAE
Pacs1	chr19	5133684	5273119	BAE
Pacs2	chr12	114252718	114312612	BAE
Pafah1b1	chr11	74487450	74537886	BAE
Pag1	chr3	9687481	9833679	rMAE
Paics	chr5	77380435	77396531	BAE
Paip2	chr18	35758320	35776839	BAE
Pan3	chr5	148242155	148360077	BAE
Papd4	chr13	93917354	93962238	BAE
Papd5	chr8	90723111	90783621	BAE
Papss1	chr3	131227731	131306635	rMAE
Parp1	chr1	182499105	182531385	BAE
Parp11	chr6	127403740	127444257	BAE
Parp6	chr9	59465090	59498097	BAE
Parp8	chr13	117643630	117814323	BAE
Pbrm1	chr14	31832323	31934778	BAE
Pbxip1	chr3	89240625	89254874	BAE
Pcf11	chr7	99792221	99818422	BAE
Pck2	chr14	56159102	56168854	BAE
Pcmtd1	chr1	7079000	7163709	BAE
Pdcd11	chr19	47165255	47205635	BAE
Pde2a	chr7	108570204	108661343	BAE
Pde3b	chr7	121558767	121681451	BAE
Pde7a	chr3	19123108	19211322	BAE
Pde8a	chr7	88358689	88478508	BAE
Pdlim5	chr3	141902548	142058660	BAE
Pdpk1	chr17	24210646	24287889	BAE
Pdss2	chr10	42941291	43184688	BAE
Pdxdc1	chr16	13833665	13903238	BAE
Pelo	chr13	115878562	115880366	rMAE
Pex13	chr11	23546478	23565935	BAE
Pex3	chr10	13243647	13272948	BAE
Phb2	chr6	124662306	124666963	BAE
Phf14	chr6	11875880	12031198	BAE
Phf17	chr3	NA	NA	BAE
Phf20	chr2	156022382	156135689	BAE
Phf21a	chr2	92024338	92204823	BAE
Phf5a	chr15	81694945	81702322	BAE
Phip	chr9	82759765	82869096	rMAE
Phlpp1	chr1	108068445	108290822	BAE
Phxr4	chr9	13234580	13235960	BAE
Pias1	chr9	62727883	62828686	BAE
Pias2	chr18	77303946	77394447	rMAE
Pigm	chr1	174306661	174314230	BAE
Pign	chr1	107414998	107560253	BAE
Pigp	chr16	94580369	94591937	rMAE
Pik3ap1	chr19	41348707	41459560	BAE
Pik3c3	chr18	30432549	30507774	BAE
Pik3cg	chr12	32858261	32893514	BAE
Pip4k2a	chr2	18763882	18919748	BAE
Pip4k2c	chr10	126634122	126648678	BAE
Pisd	chr5	33078961	33128275	BAE
Pitpnc1	chr11	107069205	107332034	BAE
Pkd1	chr17	24686894	24733459	BAE
Pkn1	chr8	86193660	86223078	BAE
Pkn2	chr3	142453865	142544968	BAE
Pla2g6	chr15	79116657	79158801	rMAE
Plcg1	chr2	160557045	160601496	BAE
Plcg2	chr8	120022190	120159042	BAE
Plcl2	chr17	50648871	50827819	BAE
Pldn	chr2	NA	NA	BAE
Plek	chr11	16871208	16908721	rMAE
Plekha2	chr8	26149616	26212283	BAE
Plekhg3	chr12	77634546	77680026	BAE
Plekhm3	chr1	64835694	65003398	BAE
Pml	chr9	58064986	58097593	BAE
Pnn	chr12	60167905	60175004	BAE
Pnpo	chr11	96799129	96805333	BAE
Pofut1	chr2	153067267	153095985	BAE
Poglut1	chr16	38525263	38550266	rMAE
Polb	chr8	23738590	23763909	BAE
Pold3	chr7	107230622	107270010	BAE
Poldip3	chr15	82956407	82979766	BAE
Polh	chr17	46308941	46339574	BAE
Poln	chr5	34349827	34512175	rMAE
Polr1a	chr6	71859046	71929355	BAE
Polr2a	chr11	69547911	69571725	BAE
Polrmt	chr10	79198869	79209326	rMAE
Pols	chr13	NA	NA	BAE
Ppargc1b	chr18	61457789	61560085	BAE
Ppfia1	chr7	151662659	151739634	BAE
Ppip5k2	chr1	99602622	99666669	BAE
Ppp1r12a	chr10	107599455	107714631	BAE
Ppp1r15b	chr1	135027742	135036377	BAE
Ppp1r16b	chr2	158492468	158592070	BAE
Ppp2cb	chr8	34710092	34730276	BAE
Ppp2r5a	chr1	193175859	193220920	BAE
Ppp3ca	chr3	136333029	136600691	BAE
Ppp6r1	chr7	4583096	4610552	BAE
Pprc1	chr19	46131028	46147399	BAE
Prep	chr10	44787019	44878801	BAE
Prkacb	chr3	146392542	146475910	BAE
Prkce	chr17	86567124	87057259	BAE
Prkd3	chr17	79348744	79420156	rMAE
Prpf8	chr11	75300278	75322949	BAE
Prps1l3	chr12	58331398	58343155	BAE
Prpsap2	chr11	61543151	61575590	BAE
Prrc2b	chr2	32006667	32090057	BAE
Prrc2c	chr1	164601915	164670687	BAE
Psat1	chr19	15979612	15999112	BAE
Psd4	chr2	24240916	24264249	BAE
Psmb7	chr2	38443565	38499426	BAE
Psmd1	chr1	87961193	88035870	BAE
Psmd14	chr2	61549750	61638433	BAE
Ptbp2	chr3	119421659	119486306	rMAE
Ptcd2	chr13	100089603	100114633	BAE
Ptger1	chr8	86190538	86194002	BAE
Ptpn1	chr2	167757826	167804885	BAE
Ptpn22	chr3	103663717	103716175	BAE
Ptpn7	chr1	137029301	137041897	BAE
Ptpn9	chr9	56842774	56910614	BAE
Ptpra	chr2	130276013	130380036	BAE
Ptprcap	chr19	4154645	4156710	BAE
Ptpre	chr7	142729506	142877977	rMAE
Ptprj	chr2	90273045	90420804	BAE
Pum2	chr12	8680939	8759389	BAE
Qtrtd1	chr16	43861525	43889789	BAE
R3hdm1	chr1	129999882	130134312	BAE
R3hdm2	chr10	126827366	126936440	BAE
Rab11b	chr17	33879428	33897431	BAE
Rab28	chr5	42016211	42099418	BAE
Rab3gap1	chr1	129765349	129840453	BAE
Rab43	chr6	87738846	87761773	BAE
Rab6	chr7	NA	NA	BAE
Rab8b	chr9	66691470	66767512	BAE
Rabep1	chr11	70658262	70756607	BAE
Rabgap1	chr2	37298804	37421957	BAE
Rac1	chr5	144266348	144288861	BAE
Rad21	chr15	51794149	51823306	BAE
Rad52	chr6	119852715	119872841	BAE
Rae1	chr2	172825617	172841240	BAE
Rai1	chr11	59918514	60012697	BAE
Ralbp1	chr17	66197768	66235095	BAE
Raly	chr3	154616845	154692997	BAE
Ranbp2	chr10	57909599	57956902	rMAE
Ranbp3	chr17	56812647	56851192	BAE
Ranbp9	chr13	43498041	43576342	BAE
Rap1b	chr10	117251652	117283030	BAE
Rapgef1	chr2	29475239	29595883	rMAE
Rapgef4	chr2	71819271	72095531	rMAE
Rasa1	chr13	85354303	85429091	BAE
Rasa3	chr8	13567217	13677587	BAE
Rasgrp2	chr19	6400582	6415216	BAE
Rasgrp4	chr7	29919951	29938974	rMAE
Rassf3	chr10	120847406	120913306	BAE
Rassf5	chr1	133072986	133141755	BAE
Rb1	chr14	73595308	73725598	BAE
Rbbp4	chr4	128984343	129012614	BAE
Rbbp6	chr7	130114077	130146086	BAE
Rbl1	chr2	156971629	157030270	BAE
Rbm25	chr12	84973183	85024073	BAE
Rbm26	chr14	105513735	105576544	BAE
Rbm38	chr2	172847402	172860232	BAE
Rbm5	chr9	107642825	107673333	BAE
Rbm6	chr9	107675890	107775150	BAE
Rc3h2	chr2	37225590	37278423	BAE
Rcor1	chr12	112278008	112351597	BAE
Rcsd1	chr1	167579075	167638225	BAE
Reep3	chr10	66471936	66559736	rMAE
Rell1	chr5	64300136	64360136	BAE
Reps1	chr10	17775745	17844961	rMAE
Rexo1	chr10	80003670	80024305	rMAE
Rexo2	chr9	48276618	48288716	BAE
Rfc1	chr5	65653090	65726878	BAE
Rftn1	chr17	50132631	50329822	BAE
Rfwd2	chr1	161162456	161277711	BAE
Rfx7	chr9	72380046	72470756	BAE
Rgl1	chr1	154364659	154472241	BAE
Rgs1	chr1	146091798	146096234	BAE
Rhoh	chr5	66254807	66287939	BAE
Ric8b	chr10	84380357	84481082	BAE
Rif1	chr2	51928356	51977901	BAE
Rin3	chr12	103521283	103629064	BAE
Riok1	chr13	38128857	38153302	BAE
Ripk1	chr13	34094742	34127039	BAE
Rnaseh2a	chr8	87480508	87489910	BAE
Rnf10	chr5	115691778	115722904	BAE
Rnf13	chr3	57539983	57639347	BAE
Rnf149	chr1	39608143	39634192	BAE
Rnf167	chr11	70460788	70464916	BAE
Rnf169	chr7	107068764	107128968	BAE
Rnf187	chr11	58745789	58752408	rMAE
Rnf219	chr14	104876750	104921883	BAE
Rnf41	chr10	127848671	127878497	BAE
Rngtt	chr4	33397285	33589589	BAE
Rock1	chr18	10064398	10181790	rMAE
Rock2	chr12	16901783	16995080	BAE
Rpe	chr1	66747404	66766379	BAE
Rpl13	chr8	125626249	125629142	BAE
Rpl19	chr11	97888237	97891807	BAE
Rpl28	chr7	4744566	4746149	BAE
Rpl4	chr9	64021193	64026369	BAE
Rpl7	chr1	16091375	16094514	rMAE
Rpl7a	chr2	26766326	26768831	BAE
Rpn1	chr6	88034466	88055298	rMAE
Rpn2	chr2	157104833	157152054	BAE
Rps15a	chr7	125247889	125259661	rMAE
Rps2	chr17	24857007	24858872	BAE
Rps6ka5	chr12	101787987	101963238	BAE
Rpsa	chr9	120036883	120041487	rMAE
Rptor	chr11	119464218	119760905	rMAE
Rras2	chr7	121190295	121261295	BAE
Rrbp1	chr2	143773130	143836999	BAE
Rreb1	chr13	37918780	38043871	BAE
Rrm1	chr7	109590208	109618285	BAE
Rsbn1	chr3	103718042	103770543	BAE
Rsbn1l	chr5	20398841	20457640	BAE
Rsf1	chr7	104728405	104841292	BAE
Rtn3	chr19	7500384	7557781	BAE
Rtn4ip1	chr10	43621612	43667668	rMAE
Runx1	chr16	92601710	92826319	BAE
Rybp	chr6	100178558	100237352	rMAE
Sacm1l	chr9	123438999	123501716	BAE
Safb	chr17	56724404	56745717	BAE
Safb2	chr17	56702364	56724006	BAE
Samm50	chr15	84022662	84044733	BAE
Samsn1	chr16	75859038	75909511	BAE
Saps3	chr19	NA	NA	BAE
Sar1a	chr10	61143068	61156045	rMAE
Sarnp	chr10	128258826	128314694	BAE
Sbk1	chr7	133416132	133438513	rMAE
Scaf11	chr15	96242128	96291274	BAE
Scarb2	chr5	92870336	92934683	BAE
Scd2	chr19	44368165	44381352	BAE
Scfd1	chr12	52478499	52551089	rMAE
Sclt1	chr3	41430626	41546436	BAE
Scyl3	chr1	165859230	165885257	BAE
Sdad1	chr5	92713035	92739050	BAE
Sdc4	chr2	164249746	164268688	BAE
Sdccag8	chr1	178744790	178950563	BAE
Sdha	chr13	74459702	74487688	rMAE
Sec11a	chr7	88060264	88092436	BAE
Sec31a	chr5	100790667	100845253	BAE
Seh1l	chr18	67934529	67955141	BAE
Serbp1	chr6	67216972	67239296	BAE
Serinc1	chr10	57235581	57252335	rMAE
Sertad2	chr11	20443255	20553026	BAE
Setd1b	chr5	123592201	123618639	BAE
Setd2	chr9	110435100	110521137	BAE
Setd3	chr12	109344640	109417494	BAE
Setd7	chr3	51319239	51364745	BAE
Setx	chr2	28980511	29037991	BAE
Sf1	chr19	6363689	6378038	BAE
Sf3a1	chr11	4060356	4082544	rMAE
Sf3b1	chr1	55042012	55084322	BAE
Sf4	chr8	NA	NA	BAE
Sfrs11	chr3	NA	NA	BAE
Sfrs15	chr16	NA	NA	BAE
Sft2d1	chr17	8503967	8520307	BAE
Sft2d2	chr1	167104471	167124564	BAE
Sh3bp2	chr5	34868432	34906288	BAE
Sh3glb1	chr3	144346641	144383299	BAE
Shfm1	chr6	6508274	6528658	BAE
Shmt2	chr10	126954178	126959500	rMAE
Shoc2	chr19	54018795	54107768	BAE
Sil1	chr18	35426049	35658579	BAE
Sipa1l1	chr12	83271002	83552771	BAE
Sirpa	chr2	129418574	129457964	rMAE
Slain2	chr5	73305555	73370067	BAE
Slbp	chr5	33982703	33995223	BAE
Slc12a6	chr2	112106470	112203320	BAE
Slc16a1	chr3	104442590	104462385	BAE
Slc16a6	chr11	109312169	109334910	BAE
Slc22a5	chr11	53678043	53705205	BAE
Slc25a37	chr14	69859907	69903160	BAE
Slc30a7	chr3	115641890	115710324	BAE
Slc30a9	chr5	67698193	67747381	BAE
Slc35a5	chr16	45139685	45158786	BAE
Slc35b3	chr13	39024008	39052744	BAE
Slc38a1	chr15	96401848	96472393	BAE
Slc38a2	chr15	96517822	96530129	BAE
Slc38a9	chr13	113450973	113528960	rMAE
Slc39a10	chr1	46864388	46910354	BAE
Slc39a9	chr12	81745201	81784329	BAE
Slc4a7	chr14	15535538	15632457	BAE
Slc7a1	chr5	149138985	149211480	BAE
Slc7a5	chr8	124405045	124431586	rMAE
Slfn2	chr11	82878613	82884180	BAE
Slmap	chr14	27232660	27353226	BAE
Sltm	chr9	70390676	70440039	BAE
Slu7	chr11	43247232	43261483	BAE
Smad2	chr18	76401354	76471401	BAE
Smad3	chr9	63494573	63605801	rMAE
Smad4	chr18	73798666	73863395	BAE
Smarca2	chr19	26679649	26852811	rMAE
Smarca4	chr9	21420612	21508674	BAE
Smarcal1	chr1	72629824	72683364	BAE
Smc4	chr3	68808893	68838545	BAE
Smc5	chr19	23280930	23348387	BAE
Smc6	chr12	11272691	11326591	BAE
Smchd1	chr17	71693833	71824683	BAE
Smek1	chr12	102277618	102321912	BAE
Smek2	chr11	29072906	29120797	BAE
Smg1	chr7	125274825	125387151	BAE
Smg5	chr3	88140181	88166259	BAE
Smg6	chr11	74739373	74977950	BAE
Snap29	chr16	17406092	17430919	BAE
Snd1	chr6	28430347	28838832	BAE
Snrnp200	chr2	127034139	127066187	BAE
Snrpf	chr10	93045773	93052403	BAE
Snx1	chr9	65935933	65972693	BAE
Snx2	chr18	53336018	53380514	BAE
Snx29	chr16	11322996	11755566	BAE
Snx5	chr2	144075858	144096638	BAE
Son	chr16	91648068	91679437	BAE
Spag5	chr11	78115092	78135956	BAE
Spata5	chr3	37318871	37478018	BAE
Spcs3	chr8	55605786	55615351	BAE
Spg21	chr9	65308743	65336277	BAE
Spg7	chr8	125589407	125621651	BAE
Spn	chr7	134277215	134281331	BAE
Spna2	chr2	NA	NA	BAE
Sppl3	chr5	115461532	115548799	BAE
Spred1	chr2	116947185	117005072	BAE
Sptlc1	chr13	53428118	53472730	BAE
Srp72	chr5	77403725	77428960	BAE
Srpk2	chr5	23009173	23122389	BAE
Srpr	chr9	35018787	35024588	BAE
Srrm2	chr17	23940153	23961710	BAE
Ssbp2	chr13	91600701	91845780	BAE
Ssfa2	chr2	79475581	79513121	BAE
Ssh2	chr11	77029926	77273721	BAE
St13	chr15	81195473	81230124	BAE
St3gal3	chr4	117604757	117807551	BAE
St8sia4	chr1	97484258	97564171	BAE
Stambpl1	chr19	34266759	34314818	BAE
Stap1	chr5	86500770	86533025	BAE
Stard4	chr18	33361074	33373470	BAE
Stard7	chr2	127095964	127124670	BAE
Stat3	chr11	100748119	100800854	BAE
Stat5b	chr11	100642044	100711899	rMAE
Stim1	chr7	109416337	109585369	BAE
Stk11	chr10	79578547	79593430	BAE
Stk4	chr2	163899913	163981257	BAE
Strbp	chr2	37425387	37502805	BAE
Strn	chr17	79053303	79135900	BAE
Strn4	chr7	17401237	17426280	BAE
Stt3b	chr9	115151699	115219539	BAE
Stx12	chr4	132409978	132440373	BAE
Stx16	chr2	173902551	173925272	BAE
Stx18	chr5	38430468	38529008	BAE
Stx6	chr1	157005832	157050647	rMAE
Sub1	chr15	11911093	11925762	BAE
Sufu	chr19	46471385	46563294	rMAE
Suhw4	chr9	NA	NA	BAE
Supt16h	chr14	NA	NA	rMAE
Supt7l	chr5	31816941	31829135	BAE
Svil	chr18	5046586	5119291	rMAE
Syk	chr13	52692250	52744161	BAE
Sympk	chr7	19609725	19639971	BAE
Syngr2	chr11	117670980	117675600	rMAE
Synj1	chr16	90936341	91011553	BAE
Sypl	chr12	33639050	33664367	BAE
Syvn1	chr19	6046575	6053718	BAE
Tacc1	chr8	26265023	26311921	BAE
Tagln2	chr1	174430376	174437506	BAE
Taok3	chr5	117570137	117725107	BAE
Tap1	chr17	34324500	34334170	BAE
Tars	chr15	11313417	11329413	BAE
Tbc1d1	chr5	64551498	64742725	BAE
Tbc1d15	chr10	114634926	114688549	BAE
Tbc1d22a	chr15	86044888	86328933	BAE
Tbc1d23	chr16	57168976	57231579	BAE
Tbc1d5	chr17	50872451	51318677	BAE
Tbc1d9b	chr11	49944861	49986287	BAE
Tbca	chr13	95558897	95612854	BAE
Tbcd	chr11	121313262	121478484	BAE
Tbcel	chr9	42220399	42280309	BAE
Tbck	chr3	132347107	132504652	BAE
Tbk1	chr10	120983512	121023850	BAE
Tbl3	chr17	24837597	24844598	BAE
Tcea1	chr1	4847774	4887990	BAE
Tcerg1	chr18	42671140	42735439	BAE
Tcf12	chr9	71692058	71959626	BAE
Tcf3	chr10	79871909	79896398	rMAE
Tcof1	chr18	60973409	61008618	BAE
Tdp1	chr12	101122724	101193426	BAE
Tec	chr5	73146956	73259687	BAE
Tex264	chr9	106561076	106588283	BAE
Tgfb1	chr7	26472020	26490015	rMAE
Tgfb3	chr12	87397692	87419991	rMAE
Th1l	chr2	NA	NA	BAE
Thap3	chr4	151356746	151363095	rMAE
Thrap3	chr4	125841326	125879954	BAE
Tifa	chr3	127492830	127501307	BAE
Tifab	chr13	56275063	56280246	rMAE
Timeless	chr10	127669118	127689997	rMAE
Timm44	chr8	4259730	4275905	BAE
Tiparp	chr3	65332368	65359440	BAE
Tiprl	chr1	167142416	167167089	rMAE
Tle3	chr9	61220172	61266304	rMAE
Tlk2	chr11	105040120	105145273	BAE
Tmed10	chr12	86681563	86715667	BAE
Tmed7	chr18	46745581	46757189	BAE
Tmem110	chr14	31638779	31690396	BAE
Tmem123	chr9	7764076	7794332	BAE
Tmem127	chr2	127073710	127086500	BAE
Tmem131	chr1	36849033	36996372	BAE
Tmem14c	chr13	41111618	41117951	BAE
Tmem167	chr13	90229271	90254526	BAE
Tmem175	chr5	109058828	109076789	BAE
Tmem2	chr19	21852829	21932850	BAE
Tmem209	chr6	30431232	30459706	BAE
Tmem87b	chr2	128644038	128679997	BAE
Tmod3	chr9	75345590	75407464	BAE
Tmppe	chr9	114310212	114320319	rMAE
Tnfaip3	chr10	18720716	18735216	rMAE
Tnks2	chr19	36908721	36967967	BAE
Tnpo1	chr13	99612035	99696339	BAE
Tnpo2	chr8	87561066	87581481	BAE
Tnrc6a	chr7	130267398	130338810	BAE
Tnrc6b	chr15	80541742	80771516	BAE
Tnrc6c	chr11	117515602	117624753	BAE
Tom1	chr8	77557584	77594020	BAE
Top1	chr2	160471632	160548499	BAE
Top2a	chr11	98854260	98885503	rMAE
Top2b	chr14	17197719	17263301	BAE
Topbp1	chr9	103207656	103252757	BAE
Tpm4	chr8	74659190	74677028	BAE
Tpp2	chr1	43990851	44059816	BAE
Tpr	chr1	152239967	152297065	BAE
Tpra1	chr6	88852244	88862234	BAE
Tpx2	chr2	152673699	152721057	BAE
Traf6	chr2	101518596	101541131	BAE
Trak2	chr1	58957293	59030326	BAE
Trim25	chr11	88860716	88881607	rMAE
Trim26	chr17	36974090	36996343	BAE
Trim27	chr13	21271799	21286592	BAE
Trim28	chr7	13609500	13616381	BAE
Trim35	chr14	66915861	66930261	BAE
Trim44	chr2	102140275	102241057	BAE
Trim59	chr3	68839215	68848664	BAE
Trip11	chr12	103075581	103151381	BAE
Trove2	chr1	145597920	145624181	BAE
Trp53bp1	chr2	121020570	121097143	BAE
Trps1	chr15	50486304	50721587	rMAE
Tsc22d4	chr5	138187196	138209681	BAE
Tsn	chr1	120195094	120207709	BAE
Tspan13	chr12	36741141	36769065	BAE
Ttc13	chr8	127195226	127245875	BAE
Ttc14	chr3	33699116	33715556	BAE
Ttc17	chr2	94140922	94246846	BAE
Ttc3	chr16	94592345	94690828	rMAE
Ttc7b	chr12	101538979	101759032	BAE
Ttf1	chr2	28915782	28943170	BAE
Ttf2	chr3	100742782	100773586	BAE
Ttll5	chr12	87165899	87394710	BAE
Ttpal	chr2	163428049	163444749	BAE
Ttyh3	chr5	141096531	141124985	BAE
Tubb5	chr17	35970864	35975246	BAE
Tug1	chr11	3539796	3548811	rMAE
Twistnb	chr12	34114488	34124245	BAE
Twsg1	chr17	66272404	66300527	rMAE
Txndc5	chr13	38592139	38620693	BAE
Txnl1	chr18	63822454	63852013	BAE
Tyk2	chr9	20908511	20935719	BAE
Uba2	chr7	34925715	34953548	BAE
Uba5	chr9	103948917	103965451	BAE
Ubac2	chr14	122277827	122420257	BAE
Ube2e1	chr14	19115242	19164358	BAE
Ube2f	chr1	93146895	93182602	rMAE
Ube2i	chr17	25397455	25411255	BAE
Ube2n	chr10	94977795	95008292	BAE
Ube4a	chr9	44731209	44773683	BAE
Ubl3	chr5	149316206	149364364	BAE
Ublcp1	chr11	44268072	44284050	BAE
Ubn2	chr6	38383924	38462763	BAE
Ubr1	chr2	120686011	120796451	BAE
Ubr2	chr17	47065239	47147481	BAE
Ubr5	chr15	37897082	38008609	BAE
Ubr7	chr12	103996184	104015911	BAE
Ubxn4	chr1	130140757	130175954	BAE
Uchl5	chr1	145624407	145654596	BAE
Uck2	chr1	169156216	169215258	BAE
Uggt1	chr1	36196872	36301147	BAE
Uhmk1	chr1	172129386	172145524	BAE
Umps	chr16	33955097	33967089	rMAE
Unc84a	chr5	NA	NA	BAE
Uqcrc2	chr7	127778702	127803037	BAE
Urb2	chr8	126547372	126572404	rMAE
Usf2	chr7	31730266	31741822	BAE
Uso1	chr5	92566963	92631821	BAE
Usp18	chr6	121195923	121220935	BAE
Usp19	chr9	108393006	108404030	BAE
Usp25	chr16	77014313	77117025	BAE
Usp37	chr1	74482083	74590860	BAE
Usp38	chr8	83504631	83538805	BAE
Uspl1	chr5	149996135	150027010	BAE
Utp18	chr11	93720556	93747080	BAE
Utp20	chr10	88209351	88289559	BAE
Uvrag	chr7	106035252	106289654	BAE
Vcpip1	chr1	9708702	9738463	BAE
Vps13a	chr19	16689855	16855423	BAE
Vps13b	chr15	35301300	35860984	BAE
Vps18	chr2	119114477	119124189	BAE
Vps33b	chr7	87414540	87436465	BAE
Vps53	chr11	75859727	75993132	BAE
Vps54	chr11	21138891	21221136	BAE
Vrk2	chr11	26371401	26493920	BAE
Vti1a	chr19	55390546	55701951	BAE
Wars	chr12	110098239	110132384	rMAE
Wbp7	chr7	NA	NA	BAE
Wdfy4	chr14	33772732	33998252	BAE
Wdr20a	chr12	NA	NA	BAE
Wdr33	chr18	31963710	32068641	BAE
Wdr75	chr1	45852345	45880458	BAE
Wdr76	chr2	121332458	121370595	BAE
Whsc1	chr5	34185760	34240615	rMAE
Whsc1l1	chr8	26750755	26830139	BAE
Wipf1	chr2	73267673	73367467	BAE
Wnk1	chr6	119873986	119988673	BAE
